Id,Lng,Lat
5411754,-73.9984741210938,40.7451057434082,13
5411755,-73.9780120849609,40.7574653625488,13
5411756,-73.9981994628906,40.742000579834,13
5411757,-73.9805297851562,40.7797546386719,13
5411758,-74.0008926391602,40.7579307556152,13
5411759,-73.9838409423828,40.7807083129883,13
5411760,-73.9792022705078,40.7404632568359,13
5411761,-73.9557037353516,40.7792320251465,13
5411762,-73.9952392578125,40.7444534301758,13
5411763,-73.9919967651367,40.7502593994141,13
5411764,-73.9837799072266,40.7681007385254,13
5411765,-73.9781341552734,40.7552680969238,13
5411766,-73.9789352416992,40.7848701477051,13
5411767,-73.9866256713867,40.742561340332,13
5411768,-74.0106430053711,40.7178840637207,13
5411769,-73.9861831665039,40.7566680908203,13
5411770,-73.975959777832,40.7590217590332,13
5411771,-73.9790496826172,40.7717971801758,13
5411772,-74.0064392089844,40.7188034057617,13
5411773,-73.9741439819336,40.7515983581543,13
5411774,-73.9732894897461,40.7636909484863,13
5411863,-73.9819488525391,40.7786560058594,13
5411864,-73.9733734130859,40.7638549804688,13
5411865,-73.9684600830078,40.761547088623,13
5411866,-73.9853134155273,40.7531394958496,13
5411867,-73.9864120483398,40.7436218261719,13
5411868,-73.9478912353516,40.8097877502441,13
5411869,-73.982307434082,40.7754173278809,13
5411870,-73.9530258178711,40.7829933166504,13
5411871,-73.9851837158203,40.753475189209,13
5411872,-73.9819793701172,40.7524337768555,13
5411873,-73.9826202392578,40.74609375,13
5411874,-73.9593887329102,40.7799034118652,13
5411875,-73.9939117431641,40.7512664794922,13
5411876,-73.9741592407227,40.7829513549805,13
5411877,-73.9831161499023,40.7691802978516,13
5411878,-73.9602432250977,40.7815399169922,13
5411879,-73.9490814208984,40.7766799926758,13
5411880,-74.0145797729492,40.7168083190918,13
5411881,-73.9945526123047,40.7508964538574,13
5411882,-73.9939880371094,40.7512855529785,13
5411883,-74.0056533813477,40.7370223999023,13
5411884,-73.8663635253906,40.7712135314941,13
5413685,-74.0120315551758,40.7075309753418,13
