Id,Lng,Lat
749436,-74.0008773803711,40.7289543151855,2
749437,-73.9883575439453,40.7273406982422,2
749438,-73.9783706665039,40.7288780212402,2
749439,-73.9535675048828,40.7753295898438,2
749440,-73.7820281982422,40.6446723937988,2
749441,-73.9825057983398,40.7672119140625,2
749442,-73.9882202148438,40.7200584411621,2
749443,-73.9934921264648,40.7216758728027,2
749444,-73.9916687011719,40.7194900512695,2
749445,-74.0082626342773,40.7413558959961,2
749446,-73.9769287109375,40.6815299987793,2
749447,-73.9484329223633,40.717830657959,2
749448,-74.0003280639648,40.727180480957,2
749449,-73.9851684570312,40.7685699462891,2
749450,-74.0036468505859,40.7323799133301,2
749451,-74.0018005371094,40.7394599914551,2
749452,-73.9870986938477,40.7603530883789,2
749453,-73.9711151123047,40.7574005126953,2
749454,-73.9843902587891,40.7289199829102,2
749455,-73.9881362915039,40.721321105957,2
749456,-73.9833526611328,40.7522087097168,2
751785,-74.0082626342773,40.736572265625,2
751786,-74.011100769043,40.7032051086426,2
751787,-74.0026626586914,40.7500801086426,2
751788,-74.0093078613281,40.7297286987305,2
751789,-74.0051116943359,40.7188529968262,2
751790,-73.9997177124023,40.7284774780273,2
751791,-73.94970703125,40.7807769775391,2
751792,-74.0010681152344,40.7409172058105,2
751793,-73.9861907958984,40.7329444885254,2
751794,-73.9746704101562,40.7910766601562,2
751795,-73.9817962646484,40.7627410888672,2
751796,-74.002799987793,40.728588104248,2
751797,-73.9983978271484,40.7297325134277,2
751798,-73.9886703491211,40.7214164733887,2
751799,-73.98828125,40.7232131958008,2
751800,-73.985954284668,40.7409629821777,2
751801,-73.9889297485352,40.7309341430664,2
751802,-73.9912185668945,40.7492713928223,2
751803,-73.9364166259766,40.6974868774414,2
751804,-73.9844512939453,40.733211517334,2
751805,-74.0002288818359,40.7269287109375,2
751806,-73.9893264770508,40.7497940063477,2
751866,-73.9956817626953,40.7442283630371,2
751867,-74.0026931762695,40.7499847412109,2
751868,-73.9884872436523,40.7594032287598,2
751869,-73.9861297607422,40.7623825073242,2
